Accident_ID,Accident_Date,Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender,Number_of_Vehicles,Number_of_Casualties
1179,2026-01-09,2026,January,Sudurpashchim,Kailali,Highway,Junction,Afternoon,Damage Only,Clear,Slippery,Scooter,50,Male,2.0,1.0
866,2025-03-07,2025,March,Bagmati,Chitwan,Feeder,Curve,Evening,Serious Injury,Clear,Dry,Car,50,Female,1.0,5.0
102,2023-03-23,2023,March,Lumbini,Kapilvastu,Urban,Straight,Morning,Damage Only,Clear,Dry,Truck,30,Male,1.0,5.0
440,2024-02-16,2024,February,Madhesh,Rautahat,Urban,Curve,Night,Minor Injury,Clear,Slippery,Motorbike,80,Male,3.0,3.0
59,2023-02-10,2023,February,Sudurpashchim,Achham,Urban,Straight,Night,Serious Injury,Clear,Wet,Scooter,50,Male,3.0,1.0
1121,2025-11-15,2025,November,Sudurpashchim,Achham,Highway,Straight,Evening,Damage Only,Clear,Wet,Bus,50,Female,1.0,15.0
324,2023-10-17,2023,October,Sudurpashchim,Achham,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,50,Male,1.0,3.0
975,2025-06-24,2025,June,Koshi,Ilam,Rural,Junction,Evening,Fatal,Clear,Slippery,Motorbike,30,Female,3.0,3.0
412,2024-01-20,2024,January,Koshi,Jhapa,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Truck,30,Male,2.0,5.0
856,2025-02-25,2025,February,Karnali,Dailekh,Urban,Straight,Evening,Serious Injury,Rain,Wet,Microbus,50,Male,2.0,11.0
821,2025-01-24,2025,January,Madhesh,Sarlahi,Highway,Straight,Morning,Minor Injury,Clear,Wet,Truck,30,Male,3.0,3.0
45,2023-02-01,2023,February,Madhesh,Bara,Feeder,Straight,Night,Serious Injury,Rain,Wet,Car,30,Male,3.0,2.0
50,2023-02-05,2023,February,Lumbini,Dang,Rural,Straight,Morning,Minor Injury,Clear,Dry,Microbus,50,Female,2.0,24.0
850,2025-02-20,2025,February,Koshi,Morang,Feeder,Straight,Night,Minor Injury,Clear,Wet,Motorbike,80,Female,2.0,2.0
